codigo_cliente,ultima_compra_civil,dias_civis_sem_compra
CLI-00003329,2025-05-13,232
CLI-00000548,2025-05-14,231
CLI-00001547,2025-05-14,231
CLI-00002041,2025-05-14,231
CLI-00002207,2025-05-14,231
CLI-00003348,2025-05-14,231
CLI-00000985,2025-05-15,230
CLI-00002066,2025-05-15,230
CLI-00002262,2025-05-15,230
CLI-00002784,2025-05-15,230
CLI-00001409,2025-05-16,229
CLI-00001447,2025-05-16,229
CLI-00001807,2025-05-16,229
CLI-00002283,2025-05-16,229
CLI-00002855,2025-05-16,229
CLI-00003596,2025-05-16,229
CLI-00001418,2025-05-17,228
CLI-00001430,2025-05-17,228
CLI-00002665,2025-05-17,228
CLI-00003093,2025-05-17,228
CLI-00000137,2025-05-18,227
CLI-00000455,2025-05-18,227
CLI-00001218,2025-05-18,227
CLI-00001884,2025-05-18,227
CLI-00002908,2025-05-18,227
CLI-00003172,2025-05-18,227
CLI-00003489,2025-05-18,227
CLI-00000371,2025-05-19,226
CLI-00000879,2025-05-19,226
CLI-00001376,2025-05-19,226
CLI-00001970,2025-05-19,226
CLI-00002045,2025-05-19,226
CLI-00002053,2025-05-19,226
CLI-00000484,2025-05-20,225
CLI-00000634,2025-05-20,225
CLI-00001078,2025-05-20,225
CLI-00001102,2025-05-20,225
CLI-00002535,2025-05-20,225
CLI-00003215,2025-05-20,225
CLI-00003551,2025-05-20,225
CLI-00000238,2025-05-21,224
CLI-00001881,2025-05-21,224
CLI-00002452,2025-05-21,224
CLI-00003461,2025-05-21,224
CLI-00003504,2025-05-21,224
CLI-00001557,2025-05-22,223
CLI-00001796,2025-05-22,223
CLI-00001803,2025-05-22,223
CLI-00000482,2025-05-23,222
CLI-00001134,2025-05-23,222
CLI-00001612,2025-05-23,222
CLI-00001702,2025-05-23,222
CLI-00002372,2025-05-23,222
CLI-00002700,2025-05-23,222
CLI-00002786,2025-05-23,222
CLI-00003290,2025-05-23,222
CLI-00001140,2025-05-24,221
CLI-00001465,2025-05-24,221
CLI-00001849,2025-05-24,221
CLI-00002935,2025-05-24,221
CLI-00000339,2025-05-25,220
CLI-00001085,2025-05-25,220
CLI-00002479,2025-05-25,220
CLI-00002858,2025-05-25,220
CLI-00003054,2025-05-25,220
CLI-00000134,2025-05-26,219
CLI-00000452,2025-05-26,219
CLI-00000540,2025-05-26,219
CLI-00000854,2025-05-26,219
CLI-00001266,2025-05-26,219
CLI-00003400,2025-05-26,219
CLI-00000172,2025-05-27,218
CLI-00001401,2025-05-27,218
CLI-00003364,2025-05-27,218
CLI-00003372,2025-05-27,218
CLI-00000047,2025-05-28,217
CLI-00001665,2025-05-28,217
CLI-00002157,2025-05-28,217
CLI-00003474,2025-05-28,217
CLI-00003569,2025-05-28,217
CLI-00000970,2025-06-01,213
CLI-00003015,2025-06-01,213
CLI-00003230,2025-06-01,213
CLI-00003439,2025-06-01,213
CLI-00003476,2025-06-01,213
CLI-00001214,2025-06-02,212
CLI-00001564,2025-06-02,212
CLI-00001944,2025-06-02,212
CLI-00002036,2025-06-02,212
CLI-00002431,2025-06-02,212
CLI-00003581,2025-06-02,212
CLI-00000533,2025-06-03,211
CLI-00000883,2025-06-03,211
CLI-00000916,2025-06-03,211
CLI-00002182,2025-06-03,211
CLI-00003347,2025-06-03,211
CLI-00001481,2025-06-04,210
CLI-00002794,2025-06-04,210
CLI-00002823,2025-06-04,210
CLI-00003393,2025-06-04,210
CLI-00000222,2025-06-05,209
CLI-00000780,2025-06-05,209
CLI-00001339,2025-06-05,209
CLI-00002314,2025-06-05,209
CLI-00003535,2025-06-05,209
CLI-00000492,2025-06-06,208
CLI-00001010,2025-06-06,208
CLI-00001311,2025-06-06,208
CLI-00001498,2025-06-06,208
CLI-00002078,2025-06-06,208
CLI-00002111,2025-06-06,208
CLI-00002375,2025-06-06,208
CLI-00002676,2025-06-06,208
CLI-00002753,2025-06-06,208
CLI-00000295,2025-06-07,207
CLI-00000829,2025-06-07,207
CLI-00003233,2025-06-07,207
CLI-00000444,2025-06-08,206
CLI-00000499,2025-06-08,206
CLI-00000824,2025-06-08,206
CLI-00002169,2025-06-08,206
CLI-00003144,2025-06-08,206
CLI-00000136,2025-06-09,205
CLI-00001063,2025-06-09,205
CLI-00001521,2025-06-09,205
CLI-00001675,2025-06-09,205
CLI-00001688,2025-06-09,205
CLI-00002231,2025-06-09,205
CLI-00002369,2025-06-09,205
CLI-00002787,2025-06-09,205
CLI-00003573,2025-06-09,205
CLI-00000433,2025-06-10,204
CLI-00001863,2025-06-10,204
CLI-00002095,2025-06-10,204
CLI-00002192,2025-06-10,204
CLI-00003105,2025-06-10,204
CLI-00003419,2025-06-10,204
CLI-00003464,2025-06-10,204
CLI-00000566,2025-06-11,203
CLI-00000674,2025-06-11,203
CLI-00001476,2025-06-11,203
CLI-00001582,2025-06-11,203
CLI-00001685,2025-06-11,203
CLI-00001809,2025-06-11,203
CLI-00002142,2025-06-11,203
CLI-00002542,2025-06-11,203
CLI-00000493,2025-06-12,202
CLI-00001354,2025-06-12,202
CLI-00001757,2025-06-12,202
CLI-00001981,2025-06-12,202
CLI-00003434,2025-06-12,202
CLI-00000582,2025-06-13,201
CLI-00000795,2025-06-13,201
CLI-00001141,2025-06-13,201
CLI-00001332,2025-06-13,201
CLI-00001381,2025-06-13,201
CLI-00000384,2025-06-14,200
CLI-00000504,2025-06-14,200
CLI-00001014,2025-06-14,200
CLI-00001272,2025-06-14,200
CLI-00001496,2025-06-14,200
CLI-00003268,2025-06-14,200
CLI-00003269,2025-06-14,200
CLI-00001079,2025-06-15,199
CLI-00001708,2025-06-15,199
CLI-00001858,2025-06-15,199
CLI-00002163,2025-06-15,199
CLI-00002172,2025-06-15,199
CLI-00002763,2025-06-15,199
CLI-00002860,2025-06-15,199
CLI-00001269,2025-06-16,198
CLI-00002021,2025-06-16,198
CLI-00002217,2025-06-16,198
CLI-00002274,2025-06-16,198
CLI-00003271,2025-06-16,198
CLI-00003294,2025-06-16,198
CLI-00003344,2025-06-16,198
CLI-00001224,2025-06-17,197
CLI-00001930,2025-06-17,197
CLI-00001966,2025-06-17,197
CLI-00002279,2025-06-17,197
CLI-00002796,2025-06-17,197
CLI-00003009,2025-06-17,197
CLI-00003150,2025-06-17,197
CLI-00001009,2025-06-18,196
CLI-00001051,2025-06-18,196
CLI-00001203,2025-06-18,196
CLI-00003188,2025-06-18,196
CLI-00003317,2025-06-18,196
CLI-00000654,2025-06-19,195
CLI-00001186,2025-06-19,195
CLI-00001782,2025-06-19,195
CLI-00002075,2025-06-19,195
CLI-00002138,2025-06-19,195
CLI-00003327,2025-06-19,195
CLI-00000807,2025-06-20,194
CLI-00001470,2025-06-20,194
CLI-00001669,2025-06-20,194
CLI-00001851,2025-06-20,194
CLI-00002368,2025-06-20,194
CLI-00000219,2025-06-21,193
CLI-00000755,2025-06-21,193
CLI-00001715,2025-06-21,193
CLI-00001827,2025-06-21,193
CLI-00002345,2025-06-21,193
CLI-00003112,2025-06-21,193
CLI-00000588,2025-06-22,192
CLI-00000802,2025-06-22,192
CLI-00002085,2025-06-22,192
CLI-00002118,2025-06-22,192
CLI-00002861,2025-06-22,192
CLI-00003432,2025-06-22,192
CLI-00000061,2025-06-23,191
CLI-00000158,2025-06-23,191
CLI-00000403,2025-06-23,191
CLI-00000690,2025-06-23,191
CLI-00001158,2025-06-23,191
CLI-00001511,2025-06-23,191
CLI-00002209,2025-06-23,191
CLI-00002251,2025-06-23,191
CLI-00002599,2025-06-23,191
CLI-00000525,2025-06-24,190
CLI-00001560,2025-06-24,190
CLI-00001794,2025-06-24,190
CLI-00002422,2025-06-24,190
CLI-00003345,2025-06-24,190
CLI-00003486,2025-06-24,190
CLI-00003546,2025-06-24,190
CLI-00000419,2025-06-25,189
CLI-00003338,2025-06-25,189
CLI-00000610,2025-06-26,188
CLI-00001028,2025-06-26,188
CLI-00001650,2025-06-26,188
CLI-00002399,2025-06-26,188
CLI-00003185,2025-06-26,188
CLI-00003394,2025-06-26,188
CLI-00000086,2025-06-27,187
CLI-00000679,2025-06-27,187
CLI-00001347,2025-06-27,187
CLI-00001585,2025-06-27,187
CLI-00002906,2025-06-27,187
CLI-00003117,2025-06-27,187
CLI-00003588,2025-06-27,187
CLI-00000544,2025-06-28,186
CLI-00000784,2025-06-28,186
CLI-00002557,2025-06-28,186
CLI-00002596,2025-06-28,186
CLI-00000234,2025-07-01,183
CLI-00000550,2025-07-01,183
CLI-00000628,2025-07-01,183
CLI-00000836,2025-07-01,183
CLI-00000852,2025-07-01,183
CLI-00000898,2025-07-01,183
CLI-00002434,2025-07-01,183
CLI-00001907,2025-07-02,182
CLI-00002300,2025-07-02,182
CLI-00002612,2025-07-02,182
CLI-00003094,2025-07-02,182
CLI-00003501,2025-07-02,182
CLI-00000182,2025-07-03,181
CLI-00000324,2025-07-03,181
CLI-00000418,2025-07-03,181
CLI-00000923,2025-07-03,181
CLI-00000984,2025-07-03,181
CLI-00001151,2025-07-03,181
CLI-00001406,2025-07-03,181
CLI-00001681,2025-07-03,181
CLI-00002289,2025-07-03,181
CLI-00000864,2025-07-04,180
CLI-00002444,2025-07-04,180
CLI-00002499,2025-07-04,180
CLI-00002695,2025-07-04,180
CLI-00000160,2025-07-05,179
CLI-00000909,2025-07-05,179
CLI-00001366,2025-07-05,179
CLI-00001657,2025-07-05,179
CLI-00002415,2025-07-05,179
CLI-00003373,2025-07-05,179
CLI-00000974,2025-07-06,178
CLI-00001073,2025-07-06,178
CLI-00002438,2025-07-06,178
CLI-00002541,2025-07-06,178
CLI-00002805,2025-07-06,178
CLI-00003026,2025-07-06,178
CLI-00003208,2025-07-06,178
CLI-00003449,2025-07-06,178
CLI-00000166,2025-07-07,177
CLI-00000726,2025-07-07,177
CLI-00001119,2025-07-07,177
CLI-00002195,2025-07-07,177
CLI-00002686,2025-07-07,177
CLI-00002994,2025-07-07,177
CLI-00003493,2025-07-07,177
CLI-00001508,2025-07-08,176
CLI-00001758,2025-07-08,176
CLI-00002382,2025-07-08,176
CLI-00002383,2025-07-08,176
CLI-00002400,2025-07-08,176
CLI-00002705,2025-07-08,176
CLI-00000326,2025-07-09,175
CLI-00000542,2025-07-09,175
CLI-00001017,2025-07-09,175
CLI-00001696,2025-07-09,175
CLI-00002191,2025-07-09,175
CLI-00003122,2025-07-09,175
CLI-00001086,2025-07-10,174
CLI-00001889,2025-07-10,174
CLI-00002047,2025-07-10,174
CLI-00002351,2025-07-10,174
CLI-00002376,2025-07-10,174
CLI-00002495,2025-07-10,174
CLI-00001263,2025-07-11,173
CLI-00001453,2025-07-11,173
CLI-00001753,2025-07-11,173
CLI-00003133,2025-07-11,173
CLI-00003187,2025-07-11,173
CLI-00003330,2025-07-11,173
CLI-00003358,2025-07-11,173
CLI-00000119,2025-07-12,172
CLI-00000421,2025-07-12,172
CLI-00001738,2025-07-12,172
CLI-00001820,2025-07-12,172
CLI-00002648,2025-07-12,172
CLI-00002717,2025-07-12,172
CLI-00003550,2025-07-12,172
CLI-00000352,2025-07-13,171
CLI-00001492,2025-07-13,171
CLI-00002329,2025-07-13,171
CLI-00002358,2025-07-13,171
CLI-00003157,2025-07-13,171
CLI-00001601,2025-07-14,170
CLI-00001766,2025-07-14,170
CLI-00002216,2025-07-14,170
CLI-00002461,2025-07-14,170
CLI-00002682,2025-07-14,170
CLI-00003095,2025-07-14,170
CLI-00003437,2025-07-14,170
CLI-00000063,2025-07-15,169
CLI-00000897,2025-07-15,169
CLI-00001576,2025-07-15,169
CLI-00001725,2025-07-15,169
CLI-00002988,2025-07-15,169
CLI-00003225,2025-07-15,169
CLI-00001315,2025-07-16,168
CLI-00001891,2025-07-16,168
CLI-00002055,2025-07-16,168
CLI-00002513,2025-07-16,168
CLI-00002901,2025-07-16,168
CLI-00003024,2025-07-16,168
CLI-00003075,2025-07-16,168
CLI-00003130,2025-07-16,168
CLI-00003161,2025-07-16,168
CLI-00001553,2025-07-17,167
CLI-00001689,2025-07-17,167
CLI-00001795,2025-07-17,167
CLI-00002740,2025-07-17,167
CLI-00003025,2025-07-17,167
CLI-00000756,2025-07-18,166
CLI-00001106,2025-07-18,166
CLI-00001546,2025-07-18,166
CLI-00001584,2025-07-18,166
CLI-00002587,2025-07-18,166
CLI-00002964,2025-07-18,166
CLI-00000643,2025-07-19,165
CLI-00000774,2025-07-19,165
CLI-00000838,2025-07-19,165
CLI-00001148,2025-07-19,165
CLI-00001593,2025-07-19,165
CLI-00001647,2025-07-19,165
CLI-00003169,2025-07-19,165
CLI-00001088,2025-07-20,164
CLI-00002179,2025-07-20,164
CLI-00002442,2025-07-20,164
CLI-00002702,2025-07-20,164
CLI-00001056,2025-07-21,163
CLI-00001635,2025-07-21,163
CLI-00001941,2025-07-21,163
CLI-00002570,2025-07-21,163
CLI-00003481,2025-07-21,163
CLI-00001216,2025-07-22,162
CLI-00001326,2025-07-22,162
CLI-00001441,2025-07-22,162
CLI-00001608,2025-07-22,162
CLI-00001778,2025-07-22,162
CLI-00002170,2025-07-22,162
CLI-00002867,2025-07-22,162
CLI-00000871,2025-07-23,161
CLI-00001479,2025-07-23,161
CLI-00001985,2025-07-23,161
CLI-00002166,2025-07-23,161
CLI-00002315,2025-07-23,161
CLI-00002801,2025-07-23,161
CLI-00003043,2025-07-23,161
CLI-00003279,2025-07-23,161
CLI-00003340,2025-07-23,161
CLI-00002244,2025-07-24,160
CLI-00002457,2025-07-24,160
CLI-00003184,2025-07-24,160
CLI-00001581,2025-07-25,159
CLI-00001987,2025-07-25,159
CLI-00002024,2025-07-25,159
CLI-00002744,2025-07-25,159
CLI-00003012,2025-07-25,159
CLI-00003484,2025-07-25,159
CLI-00000027,2025-07-26,158
CLI-00001322,2025-07-26,158
CLI-00001764,2025-07-26,158
CLI-00001967,2025-07-26,158
CLI-00002007,2025-07-26,158
CLI-00002153,2025-07-26,158
CLI-00003137,2025-07-26,158
CLI-00003255,2025-07-26,158
CLI-00000390,2025-07-27,157
CLI-00000728,2025-07-27,157
CLI-00001362,2025-07-27,157
CLI-00001609,2025-07-27,157
CLI-00002543,2025-07-27,157
CLI-00003068,2025-07-27,157
CLI-00003415,2025-07-27,157
CLI-00003443,2025-07-27,157
CLI-00000345,2025-07-28,156
CLI-00001180,2025-07-28,156
CLI-00001830,2025-07-28,156
CLI-00002595,2025-07-28,156
CLI-00003254,2025-07-28,156
CLI-00001013,2025-08-01,152
CLI-00001859,2025-08-01,152
CLI-00001919,2025-08-01,152
CLI-00002259,2025-08-01,152
CLI-00002260,2025-08-01,152
CLI-00002765,2025-08-01,152
CLI-00001312,2025-08-02,151
CLI-00001730,2025-08-02,151
CLI-00001867,2025-08-02,151
CLI-00002533,2025-08-02,151
CLI-00002723,2025-08-02,151
CLI-00002724,2025-08-02,151
CLI-00002947,2025-08-02,151
CLI-00000262,2025-08-03,150
CLI-00001255,2025-08-03,150
CLI-00001349,2025-08-03,150
CLI-00001686,2025-08-03,150
CLI-00002210,2025-08-03,150
CLI-00002532,2025-08-03,150
CLI-00002859,2025-08-03,150
CLI-00000725,2025-08-04,149
CLI-00001396,2025-08-04,149
CLI-00001703,2025-08-04,149
CLI-00001832,2025-08-04,149
CLI-00003392,2025-08-04,149
CLI-00003435,2025-08-04,149
CLI-00001566,2025-08-05,148
CLI-00002199,2025-08-05,148
CLI-00002297,2025-08-05,148
CLI-00002564,2025-08-05,148
CLI-00003023,2025-08-05,148
CLI-00003135,2025-08-05,148
CLI-00003455,2025-08-05,148
CLI-00000642,2025-08-06,147
CLI-00001165,2025-08-06,147
CLI-00002115,2025-08-06,147
CLI-00002190,2025-08-06,147
CLI-00002938,2025-08-06,147
CLI-00002946,2025-08-06,147
CLI-00003070,2025-08-06,147
CLI-00003276,2025-08-06,147
CLI-00001237,2025-08-07,146
CLI-00001542,2025-08-07,146
CLI-00001561,2025-08-07,146
CLI-00001654,2025-08-07,146
CLI-00001911,2025-08-07,146
CLI-00001949,2025-08-07,146
CLI-00002458,2025-08-07,146
CLI-00003027,2025-08-07,146
CLI-00003106,2025-08-07,146
CLI-00000808,2025-08-08,145
CLI-00001297,2025-08-08,145
CLI-00001604,2025-08-08,145
CLI-00001771,2025-08-08,145
CLI-00001997,2025-08-08,145
CLI-00000436,2025-08-09,144
CLI-00001380,2025-08-09,144
CLI-00001445,2025-08-09,144
CLI-00001639,2025-08-09,144
CLI-00002853,2025-08-09,144
CLI-00002989,2025-08-09,144
CLI-00003379,2025-08-09,144
CLI-00000315,2025-08-10,143
CLI-00001621,2025-08-10,143
CLI-00001816,2025-08-10,143
CLI-00003057,2025-08-10,143
CLI-00003399,2025-08-10,143
CLI-00000855,2025-08-11,142
CLI-00001720,2025-08-11,142
CLI-00002141,2025-08-11,142
CLI-00002639,2025-08-11,142
CLI-00002658,2025-08-11,142
CLI-00002848,2025-08-11,142
CLI-00003136,2025-08-11,142
CLI-00003209,2025-08-11,142
CLI-00001503,2025-08-12,141
CLI-00001707,2025-08-12,141
CLI-00001780,2025-08-12,141
CLI-00002632,2025-08-12,141
CLI-00002834,2025-08-12,141
CLI-00002928,2025-08-12,141
CLI-00000896,2025-08-13,140
CLI-00002181,2025-08-13,140
CLI-00002494,2025-08-13,140
CLI-00002672,2025-08-13,140
CLI-00003048,2025-08-13,140
CLI-00003320,2025-08-13,140
CLI-00000140,2025-08-14,139
CLI-00001089,2025-08-14,139
CLI-00001295,2025-08-14,139
CLI-00002287,2025-08-14,139
CLI-00002602,2025-08-14,139
CLI-00002826,2025-08-14,139
CLI-00003074,2025-08-14,139
CLI-00003177,2025-08-14,139
CLI-00003178,2025-08-14,139
CLI-00000700,2025-08-15,138
CLI-00002206,2025-08-15,138
CLI-00002295,2025-08-15,138
CLI-00002336,2025-08-15,138
CLI-00003526,2025-08-15,138
CLI-00000948,2025-08-16,137
CLI-00000954,2025-08-16,137
CLI-00001230,2025-08-16,137
CLI-00002239,2025-08-16,137
CLI-00002783,2025-08-16,137
CLI-00002814,2025-08-16,137
CLI-00000786,2025-08-17,136
CLI-00001391,2025-08-17,136
CLI-00001850,2025-08-17,136
CLI-00002137,2025-08-17,136
CLI-00002154,2025-08-17,136
CLI-00002337,2025-08-17,136
CLI-00002429,2025-08-17,136
CLI-00002547,2025-08-17,136
CLI-00003408,2025-08-17,136
CLI-00000861,2025-08-18,135
CLI-00001204,2025-08-18,135
CLI-00001248,2025-08-18,135
CLI-00001625,2025-08-18,135
CLI-00001727,2025-08-18,135
CLI-00001916,2025-08-18,135
CLI-00002096,2025-08-18,135
CLI-00002098,2025-08-18,135
CLI-00003056,2025-08-18,135
CLI-00003141,2025-08-18,135
CLI-00000423,2025-08-19,134
CLI-00001044,2025-08-19,134
CLI-00001299,2025-08-19,134
CLI-00001412,2025-08-19,134
CLI-00002497,2025-08-19,134
CLI-00002785,2025-08-19,134
CLI-00003599,2025-08-19,134
CLI-00000687,2025-08-20,133
CLI-00001278,2025-08-20,133
CLI-00001719,2025-08-20,133
CLI-00002054,2025-08-20,133
CLI-00002496,2025-08-20,133
CLI-00002809,2025-08-20,133
CLI-00002873,2025-08-20,133
CLI-00000888,2025-08-21,132
CLI-00002505,2025-08-21,132
CLI-00002762,2025-08-21,132
CLI-00003216,2025-08-21,132
CLI-00003238,2025-08-21,132
CLI-00003362,2025-08-21,132
CLI-00003534,2025-08-21,132
CLI-00000089,2025-08-22,131
CLI-00000531,2025-08-22,131
CLI-00001323,2025-08-22,131
CLI-00001760,2025-08-22,131
CLI-00002472,2025-08-22,131
CLI-00003045,2025-08-22,131
CLI-00003313,2025-08-22,131
CLI-00000330,2025-08-23,130
CLI-00000633,2025-08-23,130
CLI-00001388,2025-08-23,130
CLI-00001440,2025-08-23,130
CLI-00001486,2025-08-23,130
CLI-00001926,2025-08-23,130
CLI-00003529,2025-08-23,130
CLI-00000616,2025-08-24,129
CLI-00001343,2025-08-24,129
CLI-00001488,2025-08-24,129
CLI-00001928,2025-08-24,129
CLI-00002072,2025-08-24,129
CLI-00002119,2025-08-24,129
CLI-00002614,2025-08-24,129
CLI-00002689,2025-08-24,129
CLI-00003401,2025-08-24,129
CLI-00000240,2025-08-25,128
CLI-00001575,2025-08-25,128
CLI-00002288,2025-08-25,128
CLI-00002575,2025-08-25,128
CLI-00003114,2025-08-25,128
CLI-00003224,2025-08-25,128
CLI-00003396,2025-08-25,128
CLI-00003522,2025-08-25,128
CLI-00001744,2025-08-26,127
CLI-00002101,2025-08-26,127
CLI-00002394,2025-08-26,127
CLI-00002667,2025-08-26,127
CLI-00002742,2025-08-26,127
CLI-00003018,2025-08-26,127
CLI-00003385,2025-08-26,127
CLI-00000070,2025-08-27,126
CLI-00002073,2025-08-27,126
CLI-00002781,2025-08-27,126
CLI-00003017,2025-08-27,126
CLI-00000818,2025-08-28,125
CLI-00001109,2025-08-28,125
CLI-00002317,2025-08-28,125
CLI-00002414,2025-08-28,125
CLI-00002488,2025-08-28,125
CLI-00002662,2025-08-28,125
CLI-00003002,2025-08-28,125
CLI-00003426,2025-08-28,125
CLI-00003528,2025-08-28,125
CLI-00002222,2025-09-01,121
CLI-00002792,2025-09-01,121
CLI-00003080,2025-09-01,121
CLI-00000192,2025-09-02,120
CLI-00002313,2025-09-02,120
CLI-00002896,2025-09-02,120
CLI-00002966,2025-09-02,120
CLI-00003013,2025-09-02,120
CLI-00003021,2025-09-02,120
CLI-00000180,2025-09-03,119
CLI-00000796,2025-09-03,119
CLI-00002675,2025-09-03,119
CLI-00002974,2025-09-03,119
CLI-00003083,2025-09-03,119
CLI-00000731,2025-09-04,118
CLI-00001683,2025-09-04,118
CLI-00001973,2025-09-04,118
CLI-00002224,2025-09-04,118
CLI-00002331,2025-09-04,118
CLI-00002980,2025-09-04,118
CLI-00003482,2025-09-04,118
CLI-00001253,2025-09-05,117
CLI-00002236,2025-09-05,117
CLI-00002377,2025-09-05,117
CLI-00002443,2025-09-05,117
CLI-00002445,2025-09-05,117
CLI-00002670,2025-09-05,117
CLI-00002897,2025-09-05,117
CLI-00000356,2025-09-06,116
CLI-00001591,2025-09-06,116
CLI-00002126,2025-09-06,116
CLI-00002548,2025-09-06,116
CLI-00002734,2025-09-06,116
CLI-00002840,2025-09-06,116
CLI-00003263,2025-09-06,116
CLI-00003597,2025-09-06,116
CLI-00001709,2025-09-07,115
CLI-00001770,2025-09-07,115
CLI-00002471,2025-09-07,115
CLI-00002893,2025-09-07,115
CLI-00003492,2025-09-07,115
CLI-00003496,2025-09-07,115
CLI-00000358,2025-09-08,114
CLI-00000459,2025-09-08,114
CLI-00001534,2025-09-08,114
CLI-00001690,2025-09-08,114
CLI-00002402,2025-09-08,114
CLI-00002428,2025-09-08,114
CLI-00002581,2025-09-08,114
CLI-00003337,2025-09-08,114
CLI-00001762,2025-09-09,113
CLI-00002574,2025-09-09,113
CLI-00003072,2025-09-09,113
CLI-00003568,2025-09-09,113
CLI-00000711,2025-09-10,112
CLI-00001435,2025-09-10,112
CLI-00001587,2025-09-10,112
CLI-00002424,2025-09-10,112
CLI-00002664,2025-09-10,112
CLI-00003214,2025-09-10,112
CLI-00003310,2025-09-10,112
CLI-00000450,2025-09-11,111
CLI-00001077,2025-09-11,111
CLI-00001722,2025-09-11,111
CLI-00001882,2025-09-11,111
CLI-00002253,2025-09-11,111
CLI-00002546,2025-09-11,111
CLI-00002550,2025-09-11,111
CLI-00002565,2025-09-11,111
CLI-00003151,2025-09-11,111
CLI-00000285,2025-09-12,110
CLI-00001183,2025-09-12,110
CLI-00001991,2025-09-12,110
CLI-00002044,2025-09-12,110
CLI-00002327,2025-09-12,110
CLI-00002818,2025-09-12,110
CLI-00003037,2025-09-12,110
CLI-00003121,2025-09-12,110
CLI-00003417,2025-09-12,110
CLI-00000553,2025-09-13,109
CLI-00000797,2025-09-13,109
CLI-00001666,2025-09-13,109
CLI-00002127,2025-09-13,109
CLI-00002309,2025-09-13,109
CLI-00002460,2025-09-13,109
CLI-00002690,2025-09-13,109
CLI-00002799,2025-09-13,109
CLI-00002950,2025-09-13,109
CLI-00003576,2025-09-13,109
CLI-00001443,2025-09-14,108
CLI-00002026,2025-09-14,108
CLI-00002139,2025-09-14,108
CLI-00002204,2025-09-14,108
CLI-00002655,2025-09-14,108
CLI-00002879,2025-09-14,108
CLI-00000416,2025-09-15,107
CLI-00002176,2025-09-15,107
CLI-00002630,2025-09-15,107
CLI-00002704,2025-09-15,107
CLI-00002707,2025-09-15,107
CLI-00003041,2025-09-15,107
CLI-00003309,2025-09-15,107
CLI-00003584,2025-09-15,107
CLI-00001228,2025-09-16,106
CLI-00001242,2025-09-16,106
CLI-00001402,2025-09-16,106
CLI-00002448,2025-09-16,106
CLI-00002478,2025-09-16,106
CLI-00002650,2025-09-16,106
CLI-00002894,2025-09-16,106
CLI-00002962,2025-09-16,106
CLI-00003210,2025-09-16,106
CLI-00001139,2025-09-17,105
CLI-00001605,2025-09-17,105
CLI-00001673,2025-09-17,105
CLI-00001934,2025-09-17,105
CLI-00002554,2025-09-17,105
CLI-00002610,2025-09-17,105
CLI-00002697,2025-09-17,105
CLI-00002745,2025-09-17,105
CLI-00000545,2025-09-18,104
CLI-00001245,2025-09-18,104
CLI-00002342,2025-09-18,104
CLI-00002373,2025-09-18,104
CLI-00002797,2025-09-18,104
CLI-00002451,2025-09-19,103
CLI-00002635,2025-09-19,103
CLI-00003034,2025-09-19,103
CLI-00003201,2025-09-19,103
CLI-00003316,2025-09-19,103
CLI-00000109,2025-09-20,102
CLI-00000648,2025-09-20,102
CLI-00000851,2025-09-20,102
CLI-00001291,2025-09-20,102
CLI-00001429,2025-09-20,102
CLI-00001444,2025-09-20,102
CLI-00001799,2025-09-20,102
CLI-00002561,2025-09-20,102
CLI-00002613,2025-09-20,102
CLI-00002634,2025-09-20,102
CLI-00002720,2025-09-20,102
CLI-00001903,2025-09-21,101
CLI-00003010,2025-09-21,101
CLI-00003142,2025-09-21,101
CLI-00003370,2025-09-21,101
CLI-00003403,2025-09-21,101
CLI-00003414,2025-09-21,101
CLI-00000363,2025-09-22,100
CLI-00000453,2025-09-22,100
CLI-00001244,2025-09-22,100
CLI-00001619,2025-09-22,100
CLI-00002361,2025-09-22,100
CLI-00002426,2025-09-22,100
CLI-00002568,2025-09-22,100
CLI-00002933,2025-09-22,100
CLI-00003046,2025-09-22,100
CLI-00000449,2025-09-23,99
CLI-00001562,2025-09-23,99
CLI-00002378,2025-09-23,99
CLI-00002627,2025-09-23,99
CLI-00002681,2025-09-23,99
CLI-00003100,2025-09-23,99
CLI-00003336,2025-09-23,99
CLI-00003594,2025-09-23,99
CLI-00000291,2025-09-24,98
CLI-00001994,2025-09-24,98
CLI-00002882,2025-09-24,98
CLI-00003113,2025-09-24,98
CLI-00003217,2025-09-24,98
CLI-00001384,2025-09-25,97
CLI-00001436,2025-09-25,97
CLI-00001909,2025-09-25,97
CLI-00002416,2025-09-25,97
CLI-00002483,2025-09-25,97
CLI-00002748,2025-09-25,97
CLI-00002754,2025-09-25,97
CLI-00003007,2025-09-25,97
CLI-00000372,2025-09-26,96
CLI-00001461,2025-09-26,96
CLI-00002011,2025-09-26,96
CLI-00002015,2025-09-26,96
CLI-00002173,2025-09-26,96
CLI-00002583,2025-09-26,96
CLI-00002628,2025-09-26,96
CLI-00003125,2025-09-26,96
CLI-00003165,2025-09-26,96
CLI-00003497,2025-09-26,96
CLI-00003511,2025-09-26,96
CLI-00000054,2025-09-27,95
CLI-00000147,2025-09-27,95
CLI-00000759,2025-09-27,95
CLI-00001831,2025-09-27,95
CLI-00001961,2025-09-27,95
CLI-00002019,2025-09-27,95
CLI-00000023,2025-09-28,94
CLI-00000526,2025-09-28,94
CLI-00001042,2025-09-28,94
CLI-00002365,2025-09-28,94
